Id,SalePrice
1461,139150.53675350305
1462,172327.70786392773
1463,205749.18110256759
1464,215396.91786617096
1465,229466.2313584608
1466,218017.00771701787
1467,193973.83026218734
1468,208255.8886648431
1469,220869.8688337925
1470,130212.23073969875
1471,191723.0970585986
1472,200363.06328307005
1473,194825.27138354024
1474,167221.2243918996
1475,154353.54640359274
1476,359857.6076355648
1477,241864.12384653548
1478,327183.54596617975
1479,256146.18224919125
1480,378455.1081454978
1481,278134.387271985
1482,232924.99376717545
1483,201012.11084191338
1484,170281.1891018831
1485,222565.22109022288
1486,241008.59866775313
1487,236312.89126849908
1488,208951.18977865195
1489,153822.7364095045
1490,147681.91940147095
1491,188887.450912977
1492,125731.78258289193
1493,213305.24841402905
1494,229839.72810758319
1495,223469.31356826914
1496,167693.80032575288
1497,177557.66799952948
1498,152897.99881508792
1499,152897.99881508792
1500,135763.07929565755
1501,149942.38907671146
1502,146733.08151897756
1503,199857.93676688915
1504,221948.89041128472
1505,167899.29756895654
1506,178399.93739069547
1507,212615.22838410814
1508,181585.1446603525
1509,168947.0642033262
1510,156412.30518261215
1511,155230.69603419097
1512,170694.36358526786
1513,195240.65048113803
1514,181893.9633398684
1515,219551.3331569427
1516,183989.67641573655
1517,162001.47139294283
1518,175523.54880055436
1519,199069.62350313016
1520,151839.99152133026
1521,155076.57310178824
1522,185222.65987495863
1523,153587.5421541173
1524,147781.4209680576
1525,143054.98437437296
1526,143876.97334718768
1527,135503.7847521935
1528,166933.40522983114
1529,153483.9694669597
1530,175718.41237678844
1531,170930.9372432077
1532,132502.12869856384
1533,153616.97043774193
1534,159617.13113447998
1535,168310.02332680504
1536,148376.79073604807
1537,100211.30294805998
1538,230544.77194223393
1539,266609.5381244797
1540,200316.2189557781
1541,170868.10519988142
1542,125550.15768406389
1543,178893.33265117326
1544,73817.0507730933
1545,111822.5830332487
1546,115110.53892450756
1547,117381.64226671762
1548,126412.88730070993
1549,96164.0519059377
1550,121645.71006319395
1551,150215.63225791164
1552,176993.10591771622
1553,175491.79317196424
1554,163367.45582294714
1555,134417.74818296012
1556,111247.93401174524
1557,125574.40887545142
1558,112206.45440024266
1559,142631.50412691256
1560,140370.21038611635
1561,211518.6052685222
1562,171445.8187782489
1563,170007.33807582315
1564,196156.8622734914
1565,199598.94109715303
1566,154470.3697510734
1567,156239.84684673237
1568,161070.38182166798
1569,164895.36280503738
1570,171509.07217459174
1571,175835.97201439436
1572,165611.66009945553
1573,212789.91777045451
1574,172084.82326037143
1575,177276.8566719691
1576,177249.58264924504
1577,177165.5800123046
1578,158908.9536933166
1579,134045.8928945783
1580,201311.50608873696
1581,137179.72585343441
1582,129473.57923329643
1583,251764.89717500072
1584,222169.47627391043
1585,138967.19306449703
1586,115062.2813281451
1587,156364.28415528996
1588,166844.6435586776
1589,154721.13027521627
1590,172639.307012212
1591,146501.2405470691
1592,120642.4750385631
1593,108969.87281978471
1594,181984.2262004172
1595,139650.97003490347
1596,272254.7803373124
1597,244598.760770663
1598,247543.73684206992
1599,226860.80157884327
